factor,EW/VW,Small/Lage,1,2,3,H-L
GL,EW,Large,0.287 ,1.786 ,2.154 ,1.867 
GL,EW,Small,0.186 ,1.387 ,1.250 ,1.064 
,,,,,,
GL,VW,Large,0.330 ,2.046 ,2.630 ,2.300 
GL,VW,Small,0.024 ,0.629 ,0.896 ,0.872 
,,,,,,
LE,EW,Large,0.218 ,1.713 ,1.464 ,1.246 
LE,EW,Small,0.174 ,1.198 ,1.101 ,0.927 
,,,,,,
LE,VW,Large,0.241 ,1.946 ,1.466 ,1.224 
LE,VW,Small,0.118 ,0.514 ,0.283 ,0.165 
,,,,,,
RS,EW,Large,0.294 ,1.784 ,1.678 ,1.383 
RS,EW,Small,0.205 ,1.503 ,0.996 ,0.790 
,,,,,,
RS,VW,Large,0.354 ,1.888 ,1.811 ,1.458 
RS,VW,Small,0.079 ,0.608 ,0.357 ,0.278 
,,,,,,
SC,EW,Large,,1.743 ,,
SC,EW,Small,,1.234 ,,
,,,,,,
SC,VW,Large,,1.953 ,,
SC,VW,Small,,0.502 ,,